dataset name,archiveType,proxyObservationType,units,proxySystem
NAm-SnowBowlSanFranciscoPeak.Briffa.2002,tree,segment,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SnowBowlSanFranciscoPeak.Briffa.2002,tree,MXD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.MXDDefaultSensor.MXD
NAm-SnowBowlSanFranciscoPeak.Briffa.2002,tree,residual,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SnowBowlSanFranciscoPeak.Briffa.2002,tree,ARS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SnowBowlSanFranciscoPeak.Briffa.2002,tree,RBar,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SnowBowlSanFranciscoPeak.Briffa.2002,tree,SD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SnowBowlSanFranciscoPeak.Briffa.2002,tree,SE,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
Ocn-AbrahamReef.Druffel.1999,coral,d13C,permil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Coral.Porites_porites_austraiensis.D13C
Ocn-CH07-98-MC-22.Saenger.2011,marine sediment,Mg_Ca,NA,NA
NAm-Bonif.Schweingruber.1996,tree,density,g/cm3,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-Bonif.Schweingruber.1996,tree,MXD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.MXDDefaultSensor.MXD
NAm-Bonif.Schweingruber.1996,tree,EPS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SunwaptaPass.Schweingruber.1996,tree,MXD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.MXDDefaultSensor.MXD
NAm-SunwaptaPass.Schweingruber.1996,tree,ARS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SunwaptaPass.Schweingruber.1996,tree,corrs,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SunwaptaPass.Schweingruber.1996,tree,SD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SunwaptaPass.Schweingruber.1996,tree,core,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SpruceCreek.Church.1981,tree,EPS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SpruceCreek.Church.1981,tree,ARS,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SpruceCreek.Church.1981,tree,SD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-SpruceCreek.Church.1981,tree,SE,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
SAm-CentralAndes11.PAGES2k.2011,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
SAm-CentralAndes11.PAGES2k.2011,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Ocn-SWCoastOfIndia.Saraswat.2013,marine sediment,ghostMeasured,NA,NA
M77-2_056.Nurnberg.2015,marine sediment,u. peregrina d13c,per mil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Uvigirina_peregrina.D13C
M77-2_056.Nurnberg.2015,marine sediment,g. ruber w d13c,per mil,http://wiki.linked.earth/Special:URIResolver/ProxySystem.MarineSediment.Globigerinoides_ruber.D13C
Asi-CHIN044.Brauning.2013,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Asi-CHIN044.Brauning.2013,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Ocn-CariacoBasin.Black.2007,marine sediment,Mg_Ca,NA,NA
Eur-SpanishPyrenees.Dorado-Linan.2012,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
Eur-SpanishPyrenees.Dorado-Linan.2012,tree,trsgi,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.TRWDefaultSensor.TRW
NAm-CraterLakeNE.Briffa.2002,tree,segment,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,density,g/cm3,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
NAm-CraterLakeNE.Briffa.2002,tree,MXD,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.MXDDefaultSensor.MXD
NAm-CraterLakeNE.Briffa.2002,tree,residual,NA,http://wiki.linked.earth/Special:URIResolver/ProxySystem.Wood.DefaultSensor
