TSid,Dataset Name,Compilation Name,variableName,Conflict with
RGrFMzE0MFm,117_723A.Godad.2011.lpd,Temp12k1_0_1,depth,set()
R4bO24Jas1Z,117_723A.Godad.2011.lpd,Temp12k1_0_1,age,set()
Rwjoz3Y1iEf,117_723A.Godad.2011.lpd,Temp12k1_0_1,planktic.d18O,set()
RF6p6FnD37J,161_976.Martrat.2014.lpd,Temp12k1_0_1,depth,set()
RpWJmk8tdl2,161_976.Martrat.2014.lpd,Temp12k1_0_1,age,set()
R56JsH0b7h7,161_976.Martrat.2014.lpd,Temp12k1_0_1,temperature,set()
RFPqL4xjYcE,161_976.Martrat.2014.lpd,Temp12k1_0_1,C37.concentration,set()
RSr4hYvJMku,165_1002C.Herbert.2000.lpd,Temp12k1_0_1,depth,set()
RR2uveZTocm,165_1002C.Herbert.2000.lpd,Temp12k1_0_1,age,set()
RRIPH2mcLOr,165_1002C.Herbert.2000.lpd,Temp12k1_0_1,label,set()
RYfbsh7Nj6W,165_1002C.Herbert.2000.lpd,Temp12k1_0_1,Uk37,set()
R7iVi9SqggU,165_1002C.Herbert.2000.lpd,Temp12k1_0_1,temperature,set()
RHba3kNQVGO,165_1002C.Herbert.2000.lpd,Temp12k1_0_1,C37.concentration,set()
RYfbsh7Nj6W_SST_from_Uk37,165_1002C.Herbert.2000.lpd,Temp12k1_0_1,temperature,set()
PYT1WENXNRV,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,age,set()
PYTHZM3X8MA,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,depth,set()
PYTGVVDEA4T,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,temperature,set()
PYTK94D1X7I,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,salinity,set()
PYTMC1PJUGV,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,Sea_Ice_months,set()
PYTBK1NM7UX,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,Sea_Ice_conc,set()
PYTZMVDIZTV,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,productivity,set()
PYTXHBYD399,2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,A,set()
M2Lvev9r5ggP,31Lake.Eisner.1995.lpd,Temp12k1_0_1,depth,set()
M2Lt36mswwhP,31Lake.Eisner.1995.lpd,Temp12k1_0_1,age,set()
M2Lv2lo9btoP,31Lake.Eisner.1995.lpd,Temp12k1_0_1,temperature,set()
M2Lmk4ecjirP,31Lake.Eisner.1995.lpd,Temp12k1_0_1,temperature,set()
M2L7yquhwzuP,31Lake.Eisner.1995.lpd,Temp12k1_0_1,temperature,set()
M2Ldrsn6en4P,31Lake.Eisner.1995.lpd,Temp12k1_0_1,precipitation,set()
R7iXMSy3OUQ,3MPond.Pellatt.2000.lpd,Temp12k1_0_1,age,set()
Rlf3YywN7Sz,3MPond.Pellatt.2000.lpd,Temp12k1_0_1,temperature,set()
WEB829856ee,3MPond.Pellatt.2000.lpd,Temp12k1_0_1,depth,set()
