dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,hasProxySystem,ProxySystem.SensorType,interpretation/variable,interpretation/variableDetail
117_723A.Godad.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,Rwjoz3Y1iEf,measured,planktic.d18O,d18O,planktic.,NA,d18O,2,permil,NA,NA,NA,NA
161_976.Martrat.2014.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RFPqL4xjYcE,measured,C37.concentration,37:2AlkenoneConcentration,NA,NA,37:2AlkenoneConcentration,2,g,NA,NA,NA,NA
165_1002C.Herbert.2000.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RYfbsh7Nj6W,measured,Uk37,Uk37,NA,NA,Uk37,2,NA,NA,NA,NA,NA
165_1002C.Herbert.2000.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RHba3kNQVGO,measured,C37.concentration,37:2AlkenoneConcentration,NA,NA,37:2AlkenoneConcentration,2,g,NA,NA,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB623c3552,measured,melt,Melt,NA,ice melt,ice melt,1,percent,NA,NA,T,NA
Ammersee.vonGrafenstein.1996.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,LS96VOAM01,measured,d18O,d18O,NA,NA,d18O,2,permil,NA,NA,P_isotope,air@surface
Century.Johnsen.1972.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB555180fd,measured,nonReliabled18O,d18O,nonReliable,NA,d18O,2,permil,NA,NA,NA,NA
DempsterPeatland.Porter.2019.lpd,Temp12k1_0_1,Ice-other,Ice-other,WEB73fbe78c,measured,d2H,dD,NA,dD,dD,1,permil,NA,NA,NA,NA
DempsterPeatland.Porter.2019.lpd,Temp12k1_0_1,Ice-other,Ice-other,WEBf7bafce3,measured,d18O,d18O,NA,d18O,d18O,1,permil,NA,NA,NA,NA
DempsterPeatland.Porter.2019.lpd,Temp12k1_0_1,Ice-other,Ice-other,WEB53aebb8d,measured,d-excess,deuteriumExcess,NA,d-excess,deuteriumExcess,1,permil,NA,NA,NA,NA
DempsterPeatland.Porter.2019.lpd,Temp12k1_0_1,Ice-other,Ice-other,WEB10668658,measured,dD_swcorr,NA,NA,dD,dD,1,permil,NA,NA,NA,NA
DempsterPeatland.Porter.2019.lpd,Temp12k1_0_1,Ice-other,Ice-other,WEBa755355a,measured,d18O_swcorr,NA,NA,d18O,d18O,1,permil,NA,NA,NA,NA
