dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted Inf Var Type,remainder(variableName),inferred Var Type,final Inf Var Type,inf Var from,units,interpretation/variable,interpretation/variableDetail
117_723A.Godad.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RGrFMzE0MFm,NA,depth,NA,NA,NA,depth,3,m,NA,NA
117_723A.Godad.2011.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R4bO24Jas1Z,NA,age,Age,NA,NA,Age,2,BP,NA,NA
161_976.Martrat.2014.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RF6p6FnD37J,NA,depth,NA,NA,NA,depth,3,m,NA,NA
161_976.Martrat.2014.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RpWJmk8tdl2,NA,age,Age,NA,NA,Age,2,BP,NA,NA
161_976.Martrat.2014.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R56JsH0b7h7,inferred,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
165_1002C.Herbert.2000.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RSr4hYvJMku,NA,depth,NA,NA,NA,depth,3,m,NA,NA
165_1002C.Herbert.2000.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RR2uveZTocm,NA,age,Age,NA,NA,Age,2,BP,NA,NA
165_1002C.Herbert.2000.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RRIPH2mcLOr,NA,label,NA,NA,NA,label,3,NA,NA,NA
165_1002C.Herbert.2000.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R7iVi9SqggU,inferred,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
165_1002C.Herbert.2000.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,RYfbsh7Nj6W_SST_from_Uk37,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYT1WENXNRV,NA,age,Age,NA,NA,Age,2,BP,NA,NA
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTHZM3X8MA,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTGVVDEA4T,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTK94D1X7I,NA,salinity,Salinity,NA,NA,Salinity,2,psu,S,SSS
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTMC1PJUGV,NA,Sea_Ice_months,NA,NA,NA,Sea_Ice_months,3,months/year,ICE,sea@surface
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTBK1NM7UX,NA,Sea_Ice_conc,NA,NA,NA,Sea_Ice_conc,3,0-10,ICE,sea@surface
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTZMVDIZTV,NA,productivity,NA,NA,NA,productivity,3,gcm2,NA,NA
2005-804-006.Ledu.2010.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,PYTXHBYD399,NA,A,NA,NA,NA,A,3,unitless,NA,NA
31Lake.Eisner.1995.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lvev9r5ggP,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
31Lake.Eisner.1995.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lt36mswwhP,NA,age,Age,NA,NA,Age,2,yr 14C BP,NA,NA
31Lake.Eisner.1995.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lv2lo9btoP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
31Lake.Eisner.1995.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lmk4ecjirP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
31Lake.Eisner.1995.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2L7yquhwzuP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
31Lake.Eisner.1995.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Ldrsn6en4P,NA,precipitation,NA,NA,NA,precipitation,3,mm,P,@surface
3MPond.Pellatt.2000.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,R7iXMSy3OUQ,NA,age,Age,NA,NA,Age,2,Calibrated,NA,NA
3MPond.Pellatt.2000.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,Rlf3YywN7Sz,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
3MPond.Pellatt.2000.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB829856ee,measured,depth,NA,NA,NA,depth,3,cm,NA,NA
850Lake.Shemesh.2001.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RCKXCtnR5bi,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
850Lake.Shemesh.2001.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RwbphJssYH1,NA,age,Age,NA,NA,Age,2,Calibrated,NA,NA
850Lake.Shemesh.2001.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,R5opojsGcHY,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
850Lake.Shemesh.2001.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RCdE7PgQ6ru,NA,ReliabIeYN1,NA,NA,NA,ReliabIeYN1,3,NA,NA,NA
850Lake.Shemesh.2001.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,R2wO1Gt2Fix,NA,Commentregardingreliability1,NA,NA,NA,Commentregardingreliability1,3,NA,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD5769e44e,NA,hole,NA,NA,NA,hole,3,NA,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB9d68afed,inferred,year,Year,NA,year,year,1,AD,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB4215db65,inferred,age,Age,NA,age,age,1,BP,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPDe51c2779dp,NA,section,NA,NA,NA,section,3,NA,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD292174f8dp,NA,interval,NA,NA,NA,interval,3,NA,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD7e8e8eaadp,NA,varveCountedAgeKa,NA,NA,NA,varveCountedAgeKa,3,NA,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD0779737ddp,NA,varveCountedAgeAD0x2FBC,NA,NA,NA,varveCountedAgeAD0x2FBC,3,AD,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD02c025e9dp,NA,radiocarbonDatesAD0x2FBC,NA,NA,NA,radiocarbonDatesAD0x2FBC,3,NA,NA,NA
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD05340dbbdp,NA,d18O,D18O,NA,NA,D18O,2,NA,NA,d18OPachySLCorr
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPDcb260002dp,NA,d18O,D18O,NA,NA,D18O,2,NA,NA,d18O0x28pachy0x29
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD28794972dp,NA,d18O,D18O,NA,NA,D18O,2,NA,NA,d18OBullSLCorr
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD1028d531dp,NA,d18O,D18O,NA,NA,D18O,2,NA,NA,d18O0x28bull0x29
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD05340dbbdp_SST_from_d18O,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
893A.Kennet.2007.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,LPD28794972dp_SST_from_d18O2,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_depth,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_age_median,NA,age,Age,NA,NA,Age,2,cal years BP,NA,NA
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_age_original,NA,ageOriginal,NA,NA,NA,ageOriginal,3,BP,NA,NA
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_d18o_ruber,NA,d18o_ruber,NA,NA,NA,d18o_ruber,3,per mil vs PDB,NA,NA
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_mgca_ruber,NA,mgca_ruber,NA,NA,NA,mgca_ruber,3,mmol/mol,NA,NA
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_mgca_ruber_SST_from_mgca_ruber,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_d18o_ruber_SST_from_d18o_ruber,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,sea@surface
A7.Sun.2005.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,T2L_A7_age_medianMedianBacon,NA,ageMedianBacon,NA,NA,NA,ageMedianBacon,3,cal years BP,NA,NA
Abalone.Cole.1994.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lj0pybo4zP,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
Abalone.Cole.1994.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lrrjfkw95P,NA,age,Age,NA,NA,Age,2,yr 14C yr BP,NA,NA
Abalone.Cole.1994.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lupm3c8kbP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Abalone.Cole.1994.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Luu75cnkxP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Abalone.Cole.1994.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Lhfelk1bfP,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Abalone.Cole.1994.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,M2Leedqkm0xP,NA,precipitation,NA,NA,NA,precipitation,3,mm,M,@surface
AdelaideTarn.Jara.2015.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB21a860c7,inferred,age,Age,NA,NA,Age,2,BP,NA,NA
AdelaideTarn.Jara.2015.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB239e9c22,inferred,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
AdelaideTarn.Jara.2015.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB82228af7,measured,depth,NA,NA,NA,depth,3,cm,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,RQnHACzPrQv,NA,age,Age,NA,NA,Age,2,Calibrated,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,RShtOmHDliM,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,RbntTQWFx0g,NA,uncertaintyHigh,NA,NA,NA,uncertaintyHigh,3,unitless,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,RUX71Q2m273,NA,uncertaintyLow,NA,NA,NA,uncertaintyLow,3,unitless,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,Rud1P1M7eu1,NA,ReliabIeYN1,NA,NA,NA,ReliabIeYN1,3,unitless,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,RoGVk0EhVGY,NA,Commentregardingreliability1,NA,NA,NA,Commentregardingreliability1,3,unitless,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB73c4ef35,inferred,meltUncertaintyHigh,NA,NA,NA,meltUncertaintyHigh,3,percent,NA,NA
Agassiz.Lecavalier.2017.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEBb0c1f37c,inferred,meltUncertaintyLow,NA,NA,NA,meltUncertaintyLow,3,percent,NA,NA
AgeroedsMosse.Nilsson.1964.lpd,Temp12k1_0_1,Peat,Peat,RmNlAvkWLKi,NA,age,Age,NA,NA,Age,2,BP,NA,NA
AgeroedsMosse.Nilsson.1964.lpd,Temp12k1_0_1,Peat,Peat,Refci2GMUak,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
AgeroedsMosse.Nilsson.1964.lpd,Temp12k1_0_1,Peat,Peat,Rt9fyy8KR7O,NA,GDD5,NA,NA,NA,GDD5,3,GDD5,GDD,air@surface
AgeroedsMosse.Nilsson.1964.lpd,Temp12k1_0_1,Peat,Peat,RnxVCFme4M6,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
AgeroedsMosse.Nilsson.1964.lpd,Temp12k1_0_1,Peat,Peat,RTdqSojg0st,NA,temperatureComposite,NA,NA,NA,temperatureComposite,3,degC,T,air@surface
AgeroedsMosse.Nilsson.1964.lpd,Temp12k1_0_1,Peat,Peat,R7POq91zEfa,NA,precipitation,NA,NA,NA,precipitation,3,mm,M,precip@surface
AgeroedsMosse.Nilsson.1964.lpd,Temp12k1_0_1,Peat,Peat,RdpMsymwlrC,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
AjaxBog.Wilmshurst.2007.lpd,Temp12k1_0_1,Peat,Peat,RWz7Yr3waKY,NA,OriginalSampleID,NA,NA,NA,OriginalSampleID,3,NA,NA,NA
AjaxBog.Wilmshurst.2007.lpd,Temp12k1_0_1,Peat,Peat,RRYYyoMwD9W,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
AjaxBog.Wilmshurst.2007.lpd,Temp12k1_0_1,Peat,Peat,RjFV5HZfne6,NA,age,Age,NA,NA,Age,2,Calibrated,NA,NA
AjaxBog.Wilmshurst.2007.lpd,Temp12k1_0_1,Peat,Peat,R6lPfjM3opf,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
AjaxBog.Wilmshurst.2007.lpd,Temp12k1_0_1,Peat,Peat,RG0BuEBYiAR,NA,uncertaintyHigh,NA,NA,NA,uncertaintyHigh,3,NA,NA,NA
AjaxBog.Wilmshurst.2007.lpd,Temp12k1_0_1,Peat,Peat,RaQsDa2URKN,NA,uncertaintyLow,NA,NA,NA,uncertaintyLow,3,NA,NA,NA
AjaxBog.Wilmshurst.2007.lpd,Temp12k1_0_1,Peat,Peat,R3J98ptkK9x,NA,ReliabIeYN1,NA,NA,NA,ReliabIeYN1,3,NA,NA,NA
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RpANZbbke0R,NA,OriginalSampleID,NA,NA,NA,OriginalSampleID,3,unitless,NA,NA
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RB5TyqMPYuk,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RFtqjORtRdW,NA,age,Age,NA,NA,Age,2,BP,NA,NA
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,Ry0uq7BMis9,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RbQ8xy5Ca4l,NA,uncertainty,NA,NA,NA,uncertainty,3,unitless,NA,NA
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RhfDXHC3UTf,NA,uncertainty,NA,NA,NA,uncertainty,3,unitless,NA,NA
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,RGGiPlqVWGy,NA,reliable,NA,NA,NA,reliable,3,unitless,NA,NA
AlanenLaanijarvi.Heinrichs.2005.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,R2HkffJ85JD,NA,nonReliabletemperature,NA,NA,NA,nonReliabletemperature,3,degC,T,NA
Alley.GISP2.2000.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,GH34755740,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
Alley.GISP2.2000.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB647031c0,inferred,year,Year,NA,year,year,1,AD,NA,NA
Alley.GISP2.2000.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,WEB34a305f8,inferred,age,Age,NA,age,age,1,BP,NA,NA
Alley.GISP2.2000.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,GHa2c65bb2,NA,kyryr BP2,NA,NA,NA,kyryr BP2,3,BP,NA,NA
Alley.GISP2.2000.lpd,Temp12k1_0_1,GlacierIce,GlacierIce,GH129d82be,NA,accumulation,NA,NA,NA,accumulation,3,m,NA,NA
AlltnaFeitheSheilich.Birks.1975.lpd,Temp12k1_0_1,Peat,Peat,Rzvy79A6B4f,NA,age,Age,NA,NA,Age,2,BP,NA,NA
AlltnaFeitheSheilich.Birks.1975.lpd,Temp12k1_0_1,Peat,Peat,RuW023BFR6k,NA,depth,NA,NA,NA,depth,3,cm,NA,NA
AlltnaFeitheSheilich.Birks.1975.lpd,Temp12k1_0_1,Peat,Peat,Rc8GwsnmKlj,NA,GDD5,NA,NA,NA,GDD5,3,GDD5,GDD,air@surface
AlltnaFeitheSheilich.Birks.1975.lpd,Temp12k1_0_1,Peat,Peat,RFUJxBek9zN,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
AlltnaFeitheSheilich.Birks.1975.lpd,Temp12k1_0_1,Peat,Peat,Rx3TR4XADtS,NA,temperatureComposite,NA,NA,NA,temperatureComposite,3,degC,T,air@surface
AlltnaFeitheSheilich.Birks.1975.lpd,Temp12k1_0_1,Peat,Peat,RlNHgm3xGb0,NA,precipitation,NA,NA,NA,precipitation,3,mm,M,precip@surface
AlltnaFeitheSheilich.Birks.1975.lpd,Temp12k1_0_1,Peat,Peat,R5NnLNvLdVc,NA,temperature,Temperature,NA,NA,Temperature,2,degC,T,air@surface
