Author,Archives
Youbin Sun,marine sediment(1)
Delia W. Oppo,marine sediment(8)
Rong Xiang,marine sediment(1)
Weiguo Liu,marine sediment(1)
Shu Gao,marine sediment(1)
Jessica Tierney,marine sediment(2)
Caroline Ummenhofer,marine sediment(1)
Peter Demenocal,marine sediment(3)
Tas Van Ommen,glacier ice(1)
Vin Morgan,glacier ice(1)
Alan Elcheikh,glacier ice(1)
Dorthe Dahl-Jensen,glacier ice(1)
Anais Orsi,glacier ice(1)
Bruce Cornuelle,glacier ice(1)
Severinghaus Jeff,glacier ice(1)
Christophe Kinnard,glacier ice(1)
Christian M. Zdanowicz,glacier ice(1)
David A. Fisher,glacier ice(1)
Elisabeth Isaksson,glacier ice(1)
Elisabeth De Vernal,glacier ice(1)
Lonnie G. Thompson,glacier ice(1)
Guoqiang Chu,lake sediment(1)
Qing Sun,lake sediment(1)
Xiaohua Wang,lake sediment(1)
Meimei Liu,lake sediment(1)
Yuan Lin,lake sediment(1)
Manman Xie,lake sediment(1)
Wenyu Shang,"lake sediment(1),speleothem(1)"
Jiaqi Liu,lake sediment(1)
Km Saunders,lake sediment(1)
M Grosjean,lake sediment(1)
Da Hodgson,lake sediment(1)
Braddock K. Linsley,"marine sediment(4),coral(6)"
Yair Rosenthal,marine sediment(6)
Nicholas J. Shackleton,marine sediment(5)
Mike A. Hall,marine sediment(2)
Lorraine E. Lisiecki,marine sediment(3)
Maureen E. Raymo,marine sediment(4)
Riza Yuliratno Setiawan,marine sediment(2)
Mahyar Mohtadi,marine sediment(5)
John Southon,marine sediment(2)
Jeroen Groeneveld,marine sediment(4)
Stephan Steinke,marine sediment(4)
Dierk Hebbeln,marine sediment(4)
Fern T. Gibbons,marine sediment(1)
Jun Cheng,marine sediment(1)
Zhengyu Liu,marine sediment(1)
Jung-Hyun Kim,marine sediment(4)
Ralph R. Schneider,marine sediment(10)
Peter J. Müller,marine sediment(5)
Gerold Wefer,marine sediment(4)
Henning Kuhnert,"marine sediment(2),coral(2)"
Holger Kuhlmann,marine sediment(1)
Helge Meggers,marine sediment(1)
Karl-Heinz Baumann,marine sediment(2)
Jürgen Pätzold,marine sediment(4)
Nadine Rippert,marine sediment(1)
Syee Weldeab,marine sediment(5)
M. Kölling,marine sediment(2)
Helge W. Arz,marine sediment(1)
Mustafa O. Moammar,marine sediment(1)
Isla S. Castañeda,marine sediment(1)
Enno Schefuß,marine sediment(1)
Jaap S. Sinninghe Damsté,marine sediment(4)
Stefan Schouten,marine sediment(2)
Yiming V. Wang,marine sediment(1)
Guillaume Leduc,marine sediment(2)
Marcus Regenberg,marine sediment(1)
Nils Andersen,marine sediment(3)
Thomas Larsen,marine sediment(1)
Thomas Blanz,marine sediment(2)
Carles Pelejero,marine sediment(2)
Joan O. Grimalt,marine sediment(4)
Stephanie Heilig,marine sediment(1)
Markus Kienast,marine sediment(2)
Luejiang Wang,marine sediment(1)
M. Sarnthein,marine sediment(1)
Shirley Van Kreveld,marine sediment(2)
H. Erlenkeuser,marine sediment(1)
P. M. Grootes,marine sediment(1)
M. Kucera,marine sediment(1)
U. Pflaumann,marine sediment(1)
M. Schulz,marine sediment(1)
Katrine Husum,marine sediment(1)
Morten Hald,marine sediment(1)
James A.P. Bendle,marine sediment(1)
Antoni Rosell-Melé,marine sediment(1)
Matthew S. Lachniet,speleothem(3)
Juan Pablo Bernal,speleothem(3)
Yemane Asmerom,speleothem(3)
Victor Polyak,speleothem(3)
D. Piperno,speleothem(1)
Lorenzo Vazquez-Selem,speleothem(1)
Hai Cheng,"speleothem(1),coral(2)"
P. Z. Zhang,speleothem(1)
C. Spötl,speleothem(1)
R. L. Edwards,speleothem(1)
Y. J. Cai,speleothem(1)
D. Z. Zhang,speleothem(1)
M. Tan,speleothem(1)
Z. S. An,speleothem(1)
Matthew Lacerra,marine sediment(2)
David Lund,marine sediment(2)
Jimin Yu,marine sediment(2)
Andreas Schmittner,marine sediment(2)
Matthew W. Schmidt,marine sediment(2)
Jean Lynch-Stieglitz,marine sediment(2)
William A. Weinlein,marine sediment(1)
Franco Marcantonio,marine sediment(1)
Samantha C. Bova,marine sediment(2)
Timothy Herbert,marine sediment(3)
Julie Kalansky,marine sediment(2)
Mark Altabet,marine sediment(2)
