dataset name,compilation name,archiveType,predicted archiveType,TSid,variableType,variableName,predicted proxyObsType,remainder(variableName),proxyObservationType,final proxyValue,proxyValue from,units,interpretation/variable,interpretation/variableDetail
FanLake.Foster.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB7579d829,measured,midpointDepth,Depth,midpoint,NA,Depth,2,cm,NA,NA
FanLake.Foster.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB9e076f55,measured,thickness,Thickness,NA,NA,Thickness,2,cm,NA,NA
FanLake.Foster.2016.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB5985647b,measured,14Cuncertainty,NA,NA,NA,14Cuncertainty,3,year 14C,NA,NA
AwengCo.Li.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEBe18c54c0,measured,depth_top,depth top,NA,NA,depth top,2,cm,NA,NA
AwengCo.Li.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEBa42209ec,measured,depth_bottom,depth bottom,NA,NA,depth bottom,2,cm,NA,NA
AwengCo.Li.2017.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB903a027e,measured,1SD,NA,NA,NA,1SD,3,yr,NA,NA
TanaLake.Loomis.2015.lpd,Temp12k1_0_1,LakeSediment,LakeSediment,WEB68aca4b9,measured,d13C,d13C,NA,NA,d13C,2,per mil,NA,NA
KinderlinskayaCave.Baker.2017.lpd,Temp12k1_0_1,Speleothem,Speleothem,WEB5c4c9a71,measured,238U,238U,NA,NA,238U,2,ng/g,NA,NA
KinderlinskayaCave.Baker.2017.lpd,Temp12k1_0_1,Speleothem,Speleothem,WEB46fa1e2c,measured,238U_error,NA,NA,NA,238U_error,3,ng/g,NA,NA
KinderlinskayaCave.Baker.2017.lpd,Temp12k1_0_1,Speleothem,Speleothem,WEB2a14544b,measured,232Th,232Th,NA,NA,232Th,2,pg/g,NA,NA
GeoB33131.Lamy.2002.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB5198aa62,measured,depth top,depth top,NA,NA,depth top,2,cm,NA,NA
GeoB33131.Lamy.2002.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB20257298,measured,depth bottom,depth bottom,NA,NA,depth bottom,2,cm,NA,NA
TN057-17.Nielsen.2004.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEBf901efb3,measured,SD,NA,NA,NA,SD,3,yr,NA,NA
TN057-17.Nielsen.2004.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,WEB93e1515b,measured,reservoir,NA,NA,NA,reservoir,3,yr,NA,NA
TN057-17.Nielsen.2004.lpd,Temp12k1_0_1,MarineSediment,MarineSediment,R2DNz7WnKCV,measured,age_type,NA,NA,NA,age_type,3,unitless,NA,NA
