filename,archiveType,proxyObservationType,units
A7.Oppo.2005.lpd,marine sediment,D18O,per mil
A7.Oppo.2005.lpd,marine sediment,Mg/Ca,mmol/mol
Afr-ColdAirCave.Sundqvist.2013.lpd,physical sample,D18O,permil
Afr-ColdAirCave.Sundqvist.2013.lpd,physical sample,SE,degC
Afr-ColdAirCave.Sundqvist.2013.lpd,physical sample,D18O,degC
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,Core,NotApplicable
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,TEX86,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,TEX86,degC
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,Upper95,degC
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,TEX86,degC
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,Lower95,degC
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,TEX86,degC
Ant-BerknerIsland.Mulvaney.2002.lpd,glacier ice,D18O,permil
Ant-CoastalDML.Thamban.2012.lpd,glacier ice,D18O,permil
Ant-DomeC.Jouzel.2001.lpd,glacier ice,DD,permil
Ant-DomeC.Stenni.2001.lpd,glacier ice,D18O,permil
Ant-DomeF1993.Uemura.2014.lpd,glacier ice,D18O,permil
Ant-DomeF2001.Uemura.2008.lpd,glacier ice,D18O,permil
Ant-DSS.DahlJensen.1999.lpd,glacier ice,GhostMeasured,NotApplicable
Ant-DSS.Moy.2012.lpd,glacier ice,D18O,permil
Ant-Ferrigno.Thomas.2013.lpd,glacier ice,DD,permil
Ant-JamesRossIsland.Mulvaney.2013.lpd,glacier ice,DD,permil
Ant-MES.Rhodes.2012.lpd,glacier ice,DD,permil
Ant-PlateauRemote.Mosley-Thompson.2013.lpd,glacier ice,D18O,permil
Ant-SipleStation.Mosley-Thompson.1990.lpd,glacier ice,D18O,permil
Ant-SiteDML05.Graf.2002.lpd,glacier ice,D18O,permil
Ant-SiteDML07.Graf.2002.lpd,glacier ice,D18O,permil
Ant-SiteDML17.Graf.2002.lpd,glacier ice,D18O,permil
Ant-TALDICE.Stenni.2010.lpd,glacier ice,D18O,permil
Ant-TalosDome.Stenni.2002.lpd,glacier ice,DD,permil
Ant-TaylorDome.Steig.2000.lpd,glacier ice,D18O,permil
Ant-US-ITASE-2000-1.Steig.2013.lpd,glacier ice,D18O,permil
Ant-US-ITASE-2002-4.Steig.2013.lpd,glacier ice,D18O,permil
Ant-VLG.Bertler.2011.lpd,glacier ice,DD,permil
Ant-WAIS-Divide.Severinghaus.2012.lpd,glacier ice,GhostMeasured,NotApplicable
Ant-WDC05A.Steig.2013.lpd,glacier ice,D18O,permil
Ant-WDC06A.Steig.2013.lpd,glacier ice,Year old,AD
Ant-WDC06A.Steig.2013.lpd,glacier ice,D18O,permil
Ant-WDC06A.Steig.2013.lpd,glacier ice,DD,permil
Arc-Agassiz.Vinther.2008.lpd,glacier ice,D18O,permil
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,Thickness,mwe
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,D18O,permil
Arc-AkademiiNaukIceCap.Opel.2013.lpd,glacier ice,Na,ng/g
Arc-Arjeplog.Bjorklund.2014.lpd,tree,Density,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,DeltaDensity,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,BlueIntensity,NA
Arc-Arjeplog.Bjorklund.2014.lpd,tree,Reflectance,NA
Arc-Armarnaes.Bjorklund.2012.lpd,tree,Density,NA
Arc-Armarnaes.Bjorklund.2012.lpd,tree,DeltaDensity,NA
Arc-Austfonna.Isaksson.2005.lpd,glacier ice,D18O,permil
Arc-Avam-Taimyr.Briffa.2008.lpd,tree,Trsgi,NA
Arc-Avam-Taimyr.Briffa.2008.lpd,tree,TRW,NA
Arc-BigRoundLake.Thomas.2009.lpd,lake sediment,GhostMeasured,NotApplicable
Arc-BlueLake.Bird.2008.lpd,lake sediment,Thickness,cm
Arc-BlueLake.Bird.2008.lpd,lake sediment,VarveThickness,cm
Arc-CampCentury.Fisher.1969.lpd,glacier ice,D18O,permil
Arc-Crete.Vinther.2010.lpd,glacier ice,D18O,permil
Arc-DevonIceCap.Fisher.1983.lpd,glacier ice,D18O,permil
Arc-Dye.Vinther.2010.lpd,glacier ice,D18O,permil
Arc-Forfjorddalen.McCarroll.2013.lpd,tree,MXD,NA
Arc-GISP2.Grootes.1997.lpd,glacier ice,D18O,permil
Arc-GRIP.Vinther.2010.lpd,glacier ice,D18O,permil
Arc-GulfofAlaska.Wilson.2014.lpd,tree,GhostMeasured,NotApplicable
Arc-HalletLake.McKay.2008.lpd,lake sediment,Thickness,cm
Arc-HalletLake.McKay.2008.lpd,lake sediment,Duration,AD
Arc-HalletLake.McKay.2008.lpd,lake sediment,BSi,mg/g
Arc-HudsonLake.Clegg.2011.lpd,lake sediment,GhostMeasured,NotApplicable
Arc-Hvítárvatn.Larsen.2011.lpd,lake sediment,Thickness,cm
Arc-Hvítárvatn.Larsen.2011.lpd,lake sediment,VarveThickness,cm
Arc-Iceland.Bergthorsson.1969.lpd,documents,GhostMeasured,NotApplicable
Arc-Indigirka.Hughes.1999.lpd,tree,Trsgi,NA
Arc-Indigirka.Hughes.1999.lpd,tree,TRW,NA
Arc-Kittelfjall.Bjorklund.2012.lpd,tree,Density,NA
Arc-Kittelfjall.Bjorklund.2012.lpd,tree,DeltaDensity,NA
Arc-Kongressvatnet.D'Andrea.2012.lpd,lake sediment,Uk37,NA
Arc-Laanila.Lindholm.2013.lpd,tree,MXD,NaN
Arc-Laanila.Lindholm.2013.lpd,tree,TRW,NaN
Arc-Laanila.Lindholm.2013.lpd,tree,Hindex,NaN
Arc-LakeC2.Lamoureux.1996.lpd,lake sediment,Thickness,mm
Arc-LakeC2.Lamoureux.1996.lpd,lake sediment,VarveThickness,mm
Arc-LakeDonardBaffinIsland.Moore.2001.lpd,lake sediment,Thickness,mm
Arc-LakeDonardBaffinIsland.Moore.2001.lpd,lake sediment,VarveThickness,mm
Arc-LakeE.D'Andrea.2011.lpd,lake sediment,GhostMeasured,NotApplicable
Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,Thickness,mm
Arc-LakeLehmilampi.Haltia-Hovi.2007.lpd,lake sediment,VarveThickness,mm
Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,X radiograph dark layer,dark_sum
Arc-LakeNataujärvi.Ojala.2005.lpd,lake sediment,VarveProperty,dark_sum
Arc-LenaRiver.McDonald.1998.lpd,tree,Trsgi,NA
Arc-LenaRiver.McDonald.1998.lpd,tree,TRW,NA
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,D18O,permil
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,D18O1,permil
Arc-Lomonosovfonna.Divine.2011.lpd,glacier ice,D18O,permil
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,Massacum,g.cm-2.a-1
Arc-LowerMurrayLake.Cook.2008.lpd,lake sediment,SedAccumulation,g.cm-2.a-1
Arc-MackenzieDelta.Porter.2013.lpd,physical sample,Trsgi,NA
Arc-MackenzieDelta.Porter.2013.lpd,physical sample,TRW,NA
Arc-MD992275.Jiang.2005.lpd,marine sediment,GhostMeasured,NotApplicable
Arc-NGTB16.Schwager.1998.lpd,glacier ice,D18O,permil
Arc-PennyIceCapP96.Fisher.1998.lpd,glacier ice,D18O,permil
Arc-PennyIceCapP96.Okuyama.2003.lpd,glacier ice,Melt,percent
Arc-PolarUrals.Wilson.2015.lpd,tree,Density,NA
Arc-PolarUrals.Wilson.2015.lpd,tree,TRW,NA
Arc-PrinceOfWales.Kinnard.2011.lpd,glacier ice,D18O,permil
Arc-SoperLake.Hughen.2000.lpd,lake sediment,Thickness,mm
