filename,archiveType,inferredVariableType,units,proxyObservationType,interpretation/variable,interpretation/variableDetail
A7.Oppo.2005.lpd,marine sediment,Age,NA,NA,Age,calendar
A7.Oppo.2005.lpd,marine sediment,Age,NA,NA,Age,calendar
A7.Oppo.2005.lpd,marine sediment,NA,NA,D18O,d18Osw,sea surface
A7.Oppo.2005.lpd,marine sediment,NA,NA,Mg/Ca,Temperature,sea surface
A7.Oppo.2005.lpd,marine sediment,Sea Surface Temperature,NA,NA,Temperature,sea surface
Afr-ColdAirCave.Sundqvist.2013.lpd,physical sample,NA,NA,D18O,NA,NA
Afr-ColdAirCave.Sundqvist.2013.lpd,physical sample,Year,NA,NA,NA,NA
Afr-ColdAirCave.Sundqvist.2013.lpd,physical sample,NA,NA,SE,NA,NA
Afr-ColdAirCave.Sundqvist.2013.lpd,physical sample,NA,NA,D18O,NA,NA
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,NA,NA,Core,NA,NA
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,Year,NA,NA,NA,NA
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,NA,NA,TEX86,NA,NA
Afr-LakeMalawi.Powers.2011.lpd,lake sediment,Temperature,NA,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,NA,NA,TEX86,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,Year,NA,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,Temperature,NA,NA,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,NA,NA,Upper95,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,NA,NA,TEX86,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,NA,NA,Lower95,NA,NA
Afr-LakeTanganyika.Tierney.2010.lpd,lake sediment,NA,NA,TEX86,NA,NA
Afr-P178-15P.Tierney.2015.lpd,marine sediment,Temperature,NA,NA,NA,NA
Afr-P178-15P.Tierney.2015.lpd,marine sediment,Year,NA,NA,NA,NA
Ant-BerknerIsland.Mulvaney.2002.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-BerknerIsland.Mulvaney.2002.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-CoastalDML.Thamban.2012.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-CoastalDML.Thamban.2012.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-DomeC.Jouzel.2001.lpd,glacier ice,NA,NA,DD,NA,NA
Ant-DomeC.Jouzel.2001.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-DomeC.Stenni.2001.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-DomeC.Stenni.2001.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-DomeF1993.Uemura.2014.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-DomeF1993.Uemura.2014.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-DomeF2001.Uemura.2008.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-DomeF2001.Uemura.2008.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-DSS.DahlJensen.1999.lpd,glacier ice,Temperature,NA,GhostMeasured,NA,NA
Ant-DSS.DahlJensen.1999.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-DSS.Moy.2012.lpd,glacier ice,NA,NA,D18O,NA,NA
Ant-DSS.Moy.2012.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-Ferrigno.Thomas.2013.lpd,glacier ice,NA,NA,DD,NA,NA
Ant-Ferrigno.Thomas.2013.lpd,glacier ice,Year,NA,NA,NA,NA
Ant-JamesRossIsland.Mulvaney.2013.lpd,glacier ice,NA,NA,DD,NA,NA
