Author,Archives
H. S. Sundqvist,"speleothem(1),Speleothem(1)"
K. Holmgren,speleothem(1)
J. Fohlmeister,speleothem(1)
Q. Zhang,speleothem(1)
M. Bar Matthews,speleothem(1)
C. Spötl,speleothem(2)
H. Körnich,speleothem(1)
Lindsay A. Powers,lake sediment(1)
Thomas C. Johnson,"lake sediment(1),LakeSediment(2)"
Josef P. Werne,"lake sediment(1),LakeSediment(2)"
Isla S. Castañeda,lake sediment(1)
Ellen C. Hopmans,lake sediment(1)
Jaap S. Sinninghe Damsté,lake sediment(1)
Stefan Schouten,"lake sediment(1),LakeSediment(3),MarineSediment(8)"
Jessica E. Tierney,"lake sediment(1),MarineSediment(1)"
Marc T. Mayes,lake sediment(1)
Natacha Meyer,lake sediment(1)
Christopher Johnson,lake sediment(1)
Peter W. Swarzenski,lake sediment(1)
Andrew S. Cohen,lake sediment(1)
James M. Russell,"lake sediment(1),LakeSediment(3)"
J. E. Tierney,"marine sediment(1),LakeSediment(1)"
C. C. Ummenhofer,marine sediment(1)
P. B. Demenocal,marine sediment(1)
Robert Mulvaney,"glacier ice(2),GlacierIce(1)"
Hans Oerter,glacier ice(1)
David A. Peel,glacier ice(1)
Wolfgang Graf,glacier ice(1)
Carol Arrowsmith,"glacier ice(2),GlacierIce(1)"
Elizabeth C. Pasteur,glacier ice(1)
Bruce Knight,glacier ice(1)
Geneviève C. Littot,glacier ice(1)
William D. Miners,glacier ice(1)
Meloth Thamban,glacier ice(1)
Sushant S. Naik,glacier ice(1)
C. M. Laluraj,glacier ice(1)
Arun Chaturvedi,glacier ice(1)
Rasik Ravindra,glacier ice(1)
J. Jouzel,"glacier ice(4),GlacierIce(4)"
V. Masson,glacier ice(1)
O. Cattani,"glacier ice(1),GlacierIce(2)"
S. Falourd,"glacier ice(3),GlacierIce(2)"
M. Stievenard,glacier ice(1)
B. Stenni,"glacier ice(4),GlacierIce(3)"
A. Longinelli,glacier ice(2)
S. J. Johnsen,"glacier ice(6),GlacierIce(3)"
