coordinates,publication,filename,authorName,archiveType,variableType,description,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,H. S. Sundqvist,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,K. Holmgren,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,J. Fohlmeister,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,Q. Zhang,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,M. Bar Matthews,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,C. Spötl,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,H. Körnich,speleothem,measured,inferred temperature,D18O,permil,1,NA,Air Condensationlevel,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,H. S. Sundqvist,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,K. Holmgren,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,J. Fohlmeister,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,Q. Zhang,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,M. Bar Matthews,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,C. Spötl,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[29.18, -24, 1450]",PAGES2kv2,Afr-ColdAirCave.Sundqvist.2013.lpd,H. Körnich,speleothem,measured,error on temp reconstruction,NA,degC,NA,NA,NA,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Lindsay A. Powers,lake sediment,measured,core name,Core,NA,NA,NA,NA,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Thomas C. Johnson,lake sediment,measured,core name,Core,NA,NA,NA,NA,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Josef P. Werne,lake sediment,measured,core name,Core,NA,NA,NA,NA,NA,NA
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Isla S. Castañeda,lake sediment,measured,core name,Core,NA,NA,NA,NA,NA,NA
