authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Tebke B̦Schen,MarineSediment,Uk37,NA,NA,NA,Temperature,degC
Matthias H. Braun,Wood,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
NA,Wood,D18O,permil,Precipitation Isotope,Na,Na Precipitation Isotope,NA
NA,MarineSediment,37:2Alkenoneconcentration,ng/g,NA,NA,surface.temp,degC
Harold C. Fritts,Wood,Corrs,NA,NA,NA,NA,NA
D.A. Graybill,Wood,Rbar (Mean Pair Correlation),NA,NA,NA,NA,NA
NA,MarineSediment,D13C,permil PDB,NA,NA,surface.temp,degC
Fidel Gonz�Lez-Rouco,Wood,Tree Ring Standardized Growth Index,NA,NA,Na,NA,NA
Fritz H. Schweingruber,Wood,Core,NA,NA,NA,NA,NA
G. T. Pederson,Wood,NA,NA,NA,NA,NA,NA
Richard C. A. Hindmarsh,GlacierIce,Dd,permil,NA,NA,NA,NA
Kevin J. Anchukaitis,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
M. Grosjean,LakeSediment,Biogenic Silica,percent,NA,NA,NA,NA
Masaki Sano,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Jonathan Palmer,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
Keith R. Briffa,Wood,Expressed Population Signal,NA,NA,NA,NA,NA
Kevin C. Nixon,Midden,NA,decimal degrees,NA,NA,temperature1,degC
Dirk N _Rnberg,MarineSediment,Mg/Ca,mmol/mol,NA,NA,Temperature,degC
Wolfgang Kuhnt,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
NA,MarineSediment,Uk37,NA,NA,NA,surface.temp,degC
James M. Russell,LakeSediment,CBT,NA,NA,NA,pH,pH
B. H. Luckman,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Dieter Garbe-Sch̦Nberg,MarineSediment,Mg/Ca,mmol/mol,NA,NA,NA,NA
I. Labuhn,Wood,D18O,permil,Precipitation And Evaporation,Na,Na Precipitation And Evaporation,NA
Keith R. Briffa,Wood,Tree Ring Width,cm,NA,NA,NA,NA
Rui Zhang,LakeSediment,Brgdgt,peak area,NA,NA,pH,pH
Bernd Wunnemann,LakeSediment,D18O,permil,NA,Lake Water,NA,NA
Hideki Ohshima,MarineSediment,Total Organic Carbon,percent,NA,NA,NA,NA
Keith R. Briffa,Wood,Segment,NA,NA,NA,NA,NA
Y. Lin,LakeSediment,Core,NA,NA,NA,NA,NA
NA,MarineSediment,D18O,permil,Temperature And D18O Of Seawater,Sea Surface,D18O,permil
D.A. Graybill,Wood,NA,NA,NA,NA,NA,NA
Gordon Jacoby,Wood,Sample Count,count,NA,NA,NA,NA
D.L. Urban,Wood,Residual,NA,NA,NA,NA,NA
Masaki Sano,Wood,Tree Ring Standardized Growth Index,NA,NA,Air Surface,NA,NA
