coordinates,publication,filename,authorName,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Lindsay A. Powers,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Thomas C. Johnson,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Josef P. Werne,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Isla S. Castañeda,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Ellen C. Hopmans,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Jaap S. Sinninghe Damsté,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[34.2883, -10.0033, 477]",PAGES2kv2,Afr-LakeMalawi.Powers.2011.lpd,Stefan Schouten,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Jessica E. Tierney,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Marc T. Mayes,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
"[28.53, -6.03, 905]",PAGES2kv2,Afr-LakeTanganyika.Tierney.2010.lpd,Natacha Meyer,lake sediment,inferred,inferred lake surface temperature,NA,Lake Surface,Temperature,degC,1.0
